Plant No.,Species,Habitat,Flower Color,Leaf Shape,Growth Form,Leaf Area (cm²),Photosynthetic Rate (µmol CO₂ m⁻² s⁻¹),Plant Height (cm),Stem Diameter (cm),Chlorophyll Content (SPAD)
72,Species C,Grassland,Blue,Lanceolate,Shrub,42.3,16.87,98.5,1.65,33.49
73,Species B,Forest,Red,Cordate,Tree,29.7,13.83,137.4,1.94,37.42
74,Species B,Grassland,Yellow,Lanceolate,Shrub,42.5,18.09,120.2,1.79,51.83
75,Species A,Grassland,White,Cordate,Herb,9.0,7.98,105.3,2.15,53.22
76,Species B,Forest,Yellow,Cordate,Herb,36.6,16.81,126.9,1.27,43.75
77,Species A,Wetland,Yellow,Lanceolate,Herb,30.7,14.22,123.0,1.76,47.88
78,Species C,Wetland,White,Cordate,Tree,27.6,14.73,111.0,1.56,46.56
79,Species A,Forest,Yellow,Ovate,Shrub,30.7,13.95,121.0,2.16,60.39
80,Species A,Wetland,White,Cordate,Herb,14.1,11.95,114.2,1.26,50.6
81,Species A,Forest,Yellow,Ovate,Herb,28.2,14.09,121.7,1.25,44.36
82,Species A,Forest,White,Ovate,Shrub,32.9,14.01,129.9,1.32,40.22
83,Species C,Forest,Red,Cordate,Herb,41.8,16.47,143.8,0.86,36.97
84,Species C,Wetland,Blue,Lanceolate,Shrub,25.9,13.25,101.4,1.34,46.02
85,Species B,Forest,White,Ovate,Shrub,23.5,11.83,152.0,1.27,41.22
86,Species C,Grassland,White,Lanceolate,Shrub,26.0,13.51,90.7,1.55,37.89
87,Species C,Wetland,Blue,Ovate,Shrub,37.3,16.66,117.7,1.6,41.77
88,Species B,Wetland,White,Cordate,Shrub,32.6,14.71,128.8,2.06,39.59
89,Species C,Wetland,White,Cordate,Tree,25.8,11.89,124.2,1.79,53.44
90,Species A,Wetland,Yellow,Ovate,Herb,34.1,13.72,110.7,1.33,49.41
91,Species A,Grassland,Blue,Cordate,Tree,30.8,13.79,116.9,1.23,44.96
92,Species B,Wetland,Red,Ovate,Herb,37.7,17.17,112.6,1.65,52.4
93,Species B,Wetland,White,Cordate,Tree,24.4,12.53,111.2,1.1,45.39
94,Species B,Forest,Blue,Lanceolate,Shrub,27.4,11.97,132.7,2.05,40.69
95,Species A,Wetland,Yellow,Cordate,Herb,26.9,13.24,125.4,1.85,52.62
96,Species C,Grassland,Red,Lanceolate,Herb,18.3,10.88,109.6,1.36,47.69
97,Species A,Grassland,Blue,Cordate,Tree,32.4,13.84,133.5,0.99,39.81
98,Species B,Grassland,Red,Lanceolate,Tree,32.1,14.78,124.6,1.91,44.05
99,Species C,Grassland,Red,Cordate,Herb,30.0,14.06,132.2,1.47,40.62
100,Species C,Wetland,Red,Lanceolate,Tree,28.1,12.29,129.4,1.87,38.09
